Core1,InstFU1,InstCac1,BranTB1,BranPre1,GlobPre1,L1LoclPre1,L2LoclPre1,Chsr1,RAS1,InstBuff1,InstDcdr1,RnameU1,IntFERAT1,FPFERAT1,FreeLst1,FPFreeLst1,LdStrU1,DataC1,StrQ1,MemManU1,Itlb1,Dtlb1,ExeU1,RegFls1,IntRF1,FPRF1,InstSched1,InstWin1,FPInstWin1,IntALUs1,FPUs1,CplxALUs1,ResBrdBus1
0.178927,0.141259,0,0,0.00940716,0.00445498,0.000284362,0.000212834,0.00445498,0,0.0628371,0.0661612,0.00362296,0.000140446,7.51754e-05,0.000148562,8.83501e-05,0.002251,0,0,0.00271072,0,0,0,0.0142312,0.0153051,0.000721205,0,0,0,0.0124423,0,0,0,
0.188672,0.150597,0,0,0.00441188,0.00185624,0.000118484,8.86808e-05,0.00185624,0.000492225,0.069819,0.0735125,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.002251,0,0,0.00271072,0,0,0,0.0114155,0.0127579,0.000901506,0,0,0,0.0155528,0,0,0,
0.24496,0.182018,0,0,0,0,0,0,0,0,0.0872737,0.0918906,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0212465,0,0.0189955,0.00271072,0,0,0,0.017287,0.0186294,0.000901506,0,0,0,0.0155528,0,0,0,
0.243618,0.182018,0,0,0,0,0,0,0,0,0.0872737,0.0918906,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0212465,0,0.0189955,0.00271072,0,0,0,0.0159447,0.017287,0.000901506,0,0,0,0.0155528,0,0,0,
0.214068,0.168513,0,0,0.00441188,0.00185624,0.000118484,8.86808e-05,0.00185624,0.000492225,0.0785463,0.0827015,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0117488,0,0.00949776,0.00271072,0,0,0,0.00939657,0.0107389,0.000901506,0,0,0,0.0155528,0,0,0,
0.186992,0.150597,0,0,0.00441188,0.00185624,0.000118484,8.86808e-05,0.00185624,0.000492225,0.069819,0.0735125,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.002251,0,0,0.00271072,0,0,0,0.00973486,0.0110772,0.000901506,0,0,0,0.0155528,0,0,0,
0.170905,0.132188,0,0,0.00391965,0.00185624,0.000118484,8.86808e-05,0.00185624,0,0.0610916,0.0643234,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.002251,0,0,0.00271072,0,0,0,0.0159447,0.017287,0.000901506,0,0,0,0.0116646,0,0,0,
0.209749,0.150597,0,0,0.00441188,0.00185624,0.000118484,8.86808e-05,0.00185624,0.000492225,0.069819,0.0735125,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0117488,0,0.00949776,0.00271072,0,0,0,0.0229948,0.0243371,0.000901506,0,0,0,0.0155528,0,0,0,
0.219729,0.164101,0,0,0,0,0,0,0,0,0.0785463,0.0827015,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0117488,0,0.00949776,0.00271072,0,0,0,0.0194697,0.0208121,0.000901506,0,0,0,0.0155528,0,0,0,
0.196976,0.150104,0,0,0.00391965,0.00185624,0.000118484,8.86808e-05,0.00185624,0,0.069819,0.0735125,0.0037361,0.000175557,9.39692e-05,0.000185703,0.000110438,0.0117488,0,0.00949776,0.00271072,0,0,0,0.0146023,0.0159447,0.000901506,0,0,0,0.0116646,0,0,0,
